order	module	LOC	fan_in	scc	direct_deps	gating_tests(top4,by cases)
20	ReactFiberLane	1167	31	SCC12(59)	ReactFiberConcurrentUpdates,ReactFiberDevToolsHook,ReactInternalTypes,ReactRootTags,clz32	
21	ReactFiberClassComponent	1128	2	SCC12(59)	ReactFiberClassUpdateQueue,ReactFiberDevToolsHook,ReactFiberFlags,ReactFiberLane,ReactFiberLegacyContext,ReactFiberNewContext,ReactFiberWorkLoop,ReactInternalTypes,ReactProfilerTimer,ReactStrictModeWarnings,ReactTypeOfMode	ReactClassComponentPropResolution-test.js(1),ReactClassSetStateCallback-test.js(1)
22	ReactFiberCommitViewTransitions	1088	3	SCC12(59)	ReactFiberConfig,ReactFiberFlags,ReactFiberViewTransitionComponent,ReactFiberWorkLoop,ReactInternalTypes,ReactProfilerTimer,ReactWorkTags	ReactSuspenseyCommitPhase-test.js(16),ViewTransitionReactServer-test.js(1)
23	ReactFiberCommitEffects	1005	2	SCC12(59)	ReactCurrentFiber,ReactFiberBeginWork,ReactFiberCallUserSpace,ReactFiberClassComponent,ReactFiberClassUpdateQueue,ReactFiberConfig,ReactFiberDevToolsHook,ReactFiberFlags,ReactFiberHooks,ReactFiberViewTransitionComponent,ReactFiberWorkLoop,ReactHookEffectTags,ReactInternalTypes,ReactProfilerTimer,ReactTypeOfMode,ReactWorkTags	ReactSuspenseEffectsSemantics-test.js(25),ReactIncrementalSideEffects-test.js(20),StrictEffectsMode-test.js(16),ReactSuspenseyCommitPhase-test.js(16)
24	ReactFiberHydrationContext	916	8	SCC12(59)	ReactCapturedValue,ReactCurrentFiber,ReactFiber,ReactFiberActivityComponent,ReactFiberConfig,ReactFiberHostContext,ReactFiberHydrationDiffs,ReactFiberLane,ReactFiberSuspenseComponent,ReactFiberTreeContext,ReactFiberWorkLoop,ReactInternalTypes,ReactWorkTags	ReactNewContext-test.js(31),ReactContextPropagation-test.js(17),ReactFiberHostContext-test.internal.js(1)
25	ReactFiber	878	6	SCC12(59)	ReactFiberConfig,ReactFiberDevToolsHook,ReactFiberFlags,ReactFiberHostContext,ReactFiberHotReloading,ReactFiberLane,ReactFiberOffscreenComponent,ReactFiberTracingMarkerComponent,ReactFiberViewTransitionComponent,ReactInternalTypes,ReactRootTags,ReactTypeOfMode,ReactWorkTags	
26	ReactFiberReconciler	848	2	SCC12(59)	ReactCurrentFiber,ReactFiberActivityComponent,ReactFiberAsyncAction,ReactFiberClassUpdateQueue,ReactFiberConcurrentUpdates,ReactFiberConfig,ReactFiberDevToolsHook,ReactFiberErrorLogger,ReactFiberHooks,ReactFiberHotReloading,ReactFiberLane,ReactFiberLegacyContext,ReactFiberRoot,ReactFiberShellHydration,ReactFiberSuspenseComponent,ReactFiberTreeReflection,ReactFiberWorkLoop,ReactInternalTypes,ReactPortal,ReactProfilerTimer,ReactRootTags,ReactTestSelectors,ReactTypeOfMode,ReactWorkTags	
27	ReactFiberCommitHostEffects	787	1	SCC12(59)	ReactCurrentFiber,ReactFiberConfig,ReactFiberFlags,ReactFiberMutationTracking,ReactFiberWorkLoop,ReactInternalTypes,ReactWorkTags	ReactSuspenseEffectsSemantics-test.js(25),ReactIncrementalSideEffects-test.js(20),StrictEffectsMode-test.js(16),ReactSuspenseyCommitPhase-test.js(16)
28	ReactFiberClassUpdateQueue	696	10	SCC12(59)	ReactFiberAsyncAction,ReactFiberConcurrentUpdates,ReactFiberDevToolsHook,ReactFiberFlags,ReactFiberLane,ReactFiberNewContext,ReactFiberWorkLoop,ReactInternalTypes,ReactTypeOfMode,getComponentNameFromFiber	ReactIncrementalUpdates-test.js(16),ReactUpdaters-test.internal.js(7),ReactPersistentUpdatesMinimalism-test.js(3),ReactUpdatePriority-test.js(3)
29	ReactFiberTreeReflection	688	3	SCC12(59)	ReactFiberActivityComponent,ReactFiberConfig,ReactFiberFlags,ReactFiberSuspenseComponent,ReactInternalTypes,ReactWorkTags	ReactIncrementalReflection-test.js(1),ReactSubtreeFlagsWarning-test.js(1)
30	ReactFiberThrow	681	2	SCC12(59)	ReactCapturedValue,ReactCurrentFiber,ReactFiberCallUserSpace,ReactFiberClassUpdateQueue,ReactFiberDevToolsHook,ReactFiberErrorLogger,ReactFiberFlags,ReactFiberHotReloading,ReactFiberHydrationContext,ReactFiberLane,ReactFiberNewContext,ReactFiberOffscreenComponent,ReactFiberSuspenseComponent,ReactFiberSuspenseContext,ReactFiberThenable,ReactFiberWorkLoop,ReactInternalTypes,ReactRootTags,ReactTypeOfMode,ReactWorkTags	
31	ReactFiberRootScheduler	676	6	SCC12(59)	ReactEventPriorities,ReactFiberAsyncAction,ReactFiberConfig,ReactFiberLane,ReactFiberWorkLoop,ReactInternalTypes,ReactProfilerTimer,ReactRootTags,Scheduler	ReactSchedulerIntegration-test.js(6)
32	ReactProfilerTimer	632	14	SCC12(59)	ReactCapturedValue,ReactFiberConfig,ReactFiberLane,ReactFiberWorkLoop,ReactInternalTypes,getComponentNameFromFiber	
33	ReactFiberHydrationDiffs	608	1	SCC12(59)	ReactInternalTypes,ReactWorkTags	
34	ReactFiberNewContext	575	11	SCC12(59)	ReactFiberConfig,ReactFiberFlags,ReactFiberHooks,ReactFiberHostContext,ReactFiberLane,ReactFiberStack,ReactInternalTypes,ReactWorkTags	ReactNewContext-test.js(31),ReactContextPropagation-test.js(17),ReactFiberHostContext-test.internal.js(1)
35	ReactFiberDevToolsHook	456	11	SCC12(59)	ReactEventPriorities,ReactFiberFlags,ReactFiberLane,ReactInternalTypes,Scheduler	ReactHooksWithNoopRenderer-test.js(97),ReactHooks-test.internal.js(43)
36	ReactInternalTypes	407	50	SCC12(59)	ReactFiberCacheComponent,ReactFiberConcurrentUpdates,ReactFiberConfig,ReactFiberFlags,ReactFiberGestureScheduler,ReactFiberLane,ReactFiberThenable,ReactFiberTracingMarkerComponent,ReactRootTags,ReactTypeOfMode,ReactWorkTags	ReactIncrementalErrorHandling-test.internal.js(43),ReactHooks-test.internal.js(43),ReactLazy-test.internal.js(41),ReactSuspense-test.internal.js(29)
37	ReactFiberThenable	359	7	SCC12(59)	ReactFiberCallUserSpace,ReactFiberWorkLoop	
38	ReactFiberTransition	328	5	SCC12(59)	ReactFiberAsyncAction,ReactFiberCacheComponent,ReactFiberConfig,ReactFiberGestureScheduler,ReactFiberLane,ReactFiberRootScheduler,ReactFiberStack,ReactFiberTransitionTypes,ReactFiberWorkLoop,ReactInternalTypes,ReactProfilerTimer	ReactTransitionTracing-test.js(21),ReactTransition-test.js(13),ReactDefaultTransitionIndicator-test.js(10),ViewTransitionReactServer-test.js(1)
39	ReactFiberUnwindWork	317	1	SCC12(59)	ReactFiberActivityComponent,ReactFiberCacheComponent,ReactFiberFlags,ReactFiberHiddenContext,ReactFiberHostContext,ReactFiberHydrationContext,ReactFiberLane,ReactFiberLegacyContext,ReactFiberNewContext,ReactFiberSuspenseComponent,ReactFiberSuspenseContext,ReactFiberTracingMarkerComponent,ReactFiberTransition,ReactFiberTreeContext,ReactInternalTypes,ReactProfilerTimer,ReactTypeOfMode,ReactWorkTags	
40	ReactStrictModeWarnings	316	3	SCC12(59)	ReactCurrentFiber,ReactInternalTypes,ReactTypeOfMode	StrictEffectsMode-test.js(16),StrictEffectsModeDefaults-test.internal.js(15),ReactActWarnings-test.js(7),ActivityStrictMode-test.js(5)
41	ReactFiberHotReloading	295	5	SCC12(59)	ReactFiberConcurrentUpdates,ReactFiberLane,ReactFiberLegacyContext,ReactFiberReconciler,ReactFiberWorkLoop,ReactInternalTypes,ReactWorkTags	
42	ReactFiberLegacyContext	289	7	SCC12(59)	ReactFiberStack,ReactInternalTypes,ReactWorkTags	ReactNewContext-test.js(31),ReactContextPropagation-test.js(17),ActivityLegacySuspense-test.js(8),ReactFiberHostContext-test.internal.js(1)
43	ReactFiberConcurrentUpdates	260	8	SCC12(59)	ReactFiberClassUpdateQueue,ReactFiberFlags,ReactFiberHooks,ReactFiberLane,ReactFiberOffscreenComponent,ReactFiberWorkLoop,ReactInternalTypes,ReactWorkTags	ReactIncrementalUpdates-test.js(16),ReactConcurrentErrorRecovery-test.js(4),ReactPersistentUpdatesMinimalism-test.js(3),ReactIncrementalUpdatesMinimalism-test.js(3)
44	ReactFiberTracingMarkerComponent	256	8	SCC12(59)	ReactFiberOffscreenComponent,ReactFiberStack,ReactFiberWorkLoop,ReactInternalTypes	ReactTransitionTracing-test.js(21),ReactClassComponentPropResolution-test.js(1)
45	ReactFiberGestureScheduler	250	4	SCC12(59)	ReactFiberConfig,ReactFiberLane,ReactFiberRootScheduler,ReactFiberWorkLoop,ReactInternalTypes	ReactSchedulerIntegration-test.js(6)
46	ReactFiberTreeContext	249	8	SCC12(59)	ReactFiberFlags,ReactFiberHydrationContext,clz32	ReactNewContext-test.js(31),ReactContextPropagation-test.js(17),ReactFiberHostContext-test.internal.js(1),ReactSubtreeFlagsWarning-test.js(1)
47	ReactFiberAsyncAction	245	5	SCC12(59)	ReactFiberLane,ReactFiberRootScheduler,ReactFiberTransitionTypes,ReactProfilerTimer	ReactAsyncActions-test.js(26)
48	ReactFiberRoot	211	6	SCC12(59)	ReactFiber,ReactFiberCacheComponent,ReactFiberClassUpdateQueue,ReactFiberConfig,ReactFiberLane,ReactInternalTypes,ReactRootTags	
49	ReactFiberCallUserSpace	207	5	SCC12(59)	ReactCapturedValue,ReactCurrentFiber,ReactFiberHooks,ReactFiberWorkLoop,ReactInternalTypes	useRef-test.internal.js(7),ReactSuspenseCallback-test.js(5),ReactClassSetStateCallback-test.js(1)
50	ReactFiberSuspenseContext	207	5	SCC12(59)	ReactFiberHiddenContext,ReactFiberStack,ReactFiberSuspenseComponent,ReactInternalTypes,ReactWorkTags	ReactSuspenseWithNoopRenderer-test.js(70),ReactSuspenseList-test.js(49),ReactNewContext-test.js(31),ReactSuspense-test.internal.js(29)
51	ReactFiberComponentStack	199	2	SCC12(59)	ReactInternalTypes,ReactWorkTags	ReactErrorStacks-test.js(9),ReactOwnerStacks-test.js(6),ReactClassComponentPropResolution-test.js(1)
52	ReactFiberScope	197	1	SCC12(59)	ReactFiberConfig,ReactFiberTreeReflection,ReactInternalTypes,ReactWorkTags	ReactScope-test.internal.js(10)
53	getComponentNameFromFiber	181	3	SCC12(59)	ReactInternalTypes	ReactFiberRefs-test.js(5),ReactClassComponentPropResolution-test.js(1),ReactFiberHostContext-test.internal.js(1)
54	ReactFiberErrorLogger	175	3	SCC12(59)	ReactCapturedValue,ReactFiberConfig,ReactInternalTypes,ReactWorkTags	ReactIncrementalErrorHandling-test.internal.js(43),ReactErrorStacks-test.js(9),ReactIncrementalErrorLogging-test.js(6),ReactConfigurableErrorLogging-test.js(4)
55	ReactFiberHostContext	150	6	SCC12(59)	ReactFiberConfig,ReactFiberHooks,ReactFiberStack,ReactInternalTypes	ReactNewContext-test.js(31),ReactContextPropagation-test.js(17),ReactFiberHostContext-test.internal.js(1)
56	ReactFiberCacheComponent	110	11	SCC12(59)	ReactFiberNewContext	useMemoCache-test.js(7),ReactCache-test.js(6),ReactClassComponentPropResolution-test.js(1)
57	ReactFiberSuspenseComponent	101	11	SCC12(59)	ReactCapturedValue,ReactFiberConfig,ReactFiberFlags,ReactFiberLane,ReactFiberTreeContext,ReactInternalTypes,ReactWorkTags	ReactSuspenseWithNoopRenderer-test.js(70),ReactSuspenseList-test.js(49),ReactSuspense-test.internal.js(29),ReactSuspenseEffectsSemantics-test.js(25)
58	ReactCurrentFiber	93	12	SCC12(59)	ReactFiberComponentStack,ReactInternalTypes	ReactFiberRefs-test.js(5),ReactConcurrentErrorRecovery-test.js(4),ReactFiberHostContext-test.internal.js(1)
59	ReactFiberViewTransitionComponent	84	7	SCC12(59)	ReactFiberConfig,ReactFiberWorkLoop,ReactInternalTypes	ReactTransitionTracing-test.js(21),ReactTransition-test.js(13),ReactDefaultTransitionIndicator-test.js(10),ViewTransitionReactServer-test.js(1)
60	ReactFiberDuplicateViewTransitions	67	1	SCC12(59)	ReactCurrentFiber,ReactInternalTypes	ViewTransitionReactServer-test.js(1)
61	ReactFiberHiddenContext	63	5	SCC12(59)	ReactFiberLane,ReactFiberStack,ReactFiberWorkLoop,ReactInternalTypes	ReactNewContext-test.js(31),ReactContextPropagation-test.js(17),ReactFiberHostContext-test.internal.js(1)
